"id","label","size","type","subtype","display","order","info","comment"
"grd","Guard+",2,"uintle",,,,"stat",
"cst","Cost",2,"uintle",,,,"stat",
"usr","Users",1,"bin",,,,"bitfield","Bitfield. Bits in order: nil Lejes Valsu Lux Wilme Esuna Olvan Kamil"
"rthn","Thunder Resist",1,"uint",,,,"stat",
"ru1","Unused 1 Resist",1,"uint",,,,"unknown","No spells carry this element. "
"ru2","Unused 2 Resist",1,"uint",,,,"unknown","No spells carry this element. "
"rfir","Fire Resist",1,"uint",,,,"stat",
"rice","Ice Resist",1,"uint",,,,"stat",
"rvac","Death Resist",1,"uint",,,,"stat",
"reff","Effect Resist",1,"uint",,,,"stat",
"nmp","Name Pointer",3,"uintle",,"hexify",,"pointer",
"unk3","Unknown 3",1,"uint",,"hexify",,"unknown",
"unk4","Unknown 4",1,"uint",,"hexify",,"unknown",
"*nmp","Name",,"strz","hirom","main",,,
