"id","label","size","type","display","order","tags","comment"
"hp","HP",2,"uintle",,,"base",
"mp","MP",2,"uintle",,,"base",
"pow","Power",1,"uint",,,"base",
"grd","Guard",1,"uint",,,"base",
"mag","Magic",1,"uint",,,"base",
"spd","Speed",1,"uint",,,"base",
"hpg","HP Growth",1,"uint",,,"growth",
"mpg","MP Growth",1,"uint",,,"growth",
"powg","Power Growth",1,"uint",,,"growth",
"grdg","Guard Growth",1,"uint",,,"growth",
"magg","Magic Growth",1,"uint",,,"growth",
"spdg","Speed Growth",1,"uint",,,"growth",
"wpn","Weapon?",1,"uint","hexify",,"equip",
"amr","Armor?",1,"uint","hexify",,"equip",
"acc","Accessory?",1,"uint","hexify",,"equip",
"xp","Exp",1,"uint",,,"base",
