"id","label","size","type","subtype","display","order","info","comment"
"drp1","Item 1",1,"uint",,,,,
"drp2","Item 2",1,"uint",,,,,
"drp3","Item 3",1,"uint",,,,,
"drp4","Item 4",1,"uint",,,,,
"drp5","Item 5",1,"uint",,,,,
"drp6","Item 6",1,"uint",,,,,
"drp7","Item 7",1,"uint",,,,,
"drp8","Item 8",1,"uint",,,,,
"drp9","Item 9",1,"uint",,,,,
"drp10","Item 10",1,"uint",,,,,
"drp11","Item 11",1,"uint",,,,,
"drp12","Item 12",1,"uint",,,,,
"drp13","Item 13",1,"uint",,,,,
"drp14","Item 14",1,"uint",,,,,
"drp15","Item 15",1,"uint",,,,,
"drp16","Item 16",1,"uint",,,,,
