id	name	offset	size	type	arg	ref	display	order	info	comment
hp	HP	0	2	uintle					base	
mp	MP	2	2	uintle					base	
pow	Power	4	1	uint					base	
grd	Guard	5	1	uint					base	
mag	Magic	6	1	uint					base	
spd	Speed	7	1	uint					base	
hpg	HP Growth	8	1	uint					growth	
mpg	MP Growth	9	1	uint					growth	
powg	Power Growth	10	1	uint					growth	
grdg	Guard Growth	11	1	uint					growth	
magg	Magic Growth	12	1	uint					growth	
spdg	Speed Growth	13	1	uint					growth	
wpn	Weapon	14	1	uint	-100	weapons			equip	
amr	Armor	15	1	uint	-151	armor			equip	
acc	Accessory	16	1	uint	-151	armor			equip	
xp	Exp	17	1	uint					base	
