id	name	unit	offset	size	type	mod	display	order	info	comment
priority	Top of Inventory	bits	0	1	uint					
equip	Equipment	bits	1	1	uint					
unk1	Unknown Inventory Flag 1	bits	2	1	uint					
cursed	Cursed	bits	3	1	uint					
fruitinv	Fruit (Inventory)	bits	4	1	uint					
sticky	Undroppable	bits	5	1	uint					
menu	Usable in Menu	bits	6	1	uint					
battle	Usable in Battle	bits	7	1	uint					
ring	Tool Ring Order?	bits	8	4	uint					
food	Food Value?	bits	12	4	uint					
tgt	Target Mode	bits	16	2	uint					
unk5	Unknown 5	bits	18	5	uint					
party	Target Enemies	bits	23	1	uint					
icon	Icon	bits	24	8	uint					
sprite	Sprite	bits	32	8	uint					
cost	Cost	bits	40	16	uintle					
slot	Equip Slot	bits	56	8	eslots					
users	Users	bits	64	8	users					
effects	Effect Flags	bits	72	16	bin					
