id	fid	name	iname	set	type	offset	count	stride	size	index	priority	display	comment
hp	hp	HP Base	HP Base	classes	uintle	0x1ef91	100	2					
hpg	hpg	HP Growth	HP Growth	classes	uintle	0x1f08b	100	1					
str	str	Str Base	Str Base	classes	uintle	0x1f0f0	100	1					
strg	strg	Str Growth	Str Growth	classes	uintle	0x1f16d	100	1					
agi	agi	Agi Base	Agi Base	classes	uintle	0x1f1d2	100	1					
agig	agig	Agi Growth	Agi Growth	classes	uintle	0x1f24f	100	1					
int	int	Int Base	Int Base	classes	uintle	0x1f2b4	100	1					
intg	intg	Int Growth	Int Growth	classes	uintle	0x1f331	100	1					
cha	cha	Cha Base	Cha Base	classes	uintle	0x1f396	100	1					
ali	ali	Ali Base	Ali Base	classes	uintle	0x1f413	100	1					
luck	luck	Luck Base	Luck Base	classes	uintle	0x1f490	100	1					
attacks	attacks	Attacks	Attacks	classes	attacks	0x1f50d	100	1					
fatk	fatk	Attack (Front)	Attack (Front)	classes	uintle	0x1f572	100	1					
ratk	ratk	Attack (Rear)	Attack (Rear)	classes	uintle	0x1f5d7	100	1					
affinity	affinity	Affinity	Affinity	classes	uintle	0x1f63c	100	1					
clsnmp	nmp	Name Pointer	Name Pointer	classes	uintle	0x8ba2f	100	2	2			pointer	
clsnm	name	Name	Name	classes	strz	0x80000	100		16	clsnmp		ascii	
