id	name	offset	size	unit	type	origin	display	order	arg	ref	info	comment
cat	Category	0	12		strz		main					
pheight	Height	12	2		uintle							
pweight	Weight	14	2		uintle							
dptr1	Description Pointer 1	16	4		uintle		pointer					
dptr2	Description Pointer 2	20	4		uintle		pointer					
pad1	Padding 1	24	2		uintbe		hex					
pscale	Pokemon Scale	26	2		uintle							
poff	Pokemon Offset	28	2		int							
tscale	Trainer Scale	30	2		uintle							
toff	Trainer Offset	32	2		int							
pad2	Padding 2	34	2		uintbe		hex					
desc1	Description 1	dptr1-0x8000000	512		strz	root	main					
desc2	Description 2	dptr2-0x8000000	512		strz	root	main					
