id	name	offset	size	unit	type	origin	display	order	arg	ref	info	comment
hp	HP	0	1		uint							
atk	Attack	1	1		uint							
def	Defense	2	1		uint							
spd	Speed	3	1		uint							
satk	Sp Attack	4	1		uint							
sdef	Sp Defense	5	1		uint							
tp1	Type 1	6	1		uint							
tp2	Type 2	7	1		uint							
catch	Catch Rate	8	1		uint							
xp	Base XP Yield	9	1		uint							
ev	Effort Values	10	2		bin							Two bits per stat; break into substruct?
item1	Item 1	12	2		uintle							
item2	Item 2	14	2		uintle							
gender	Gender Threshold	16	1		uint							From zero (always male) to 254 (always female). 255 is Unknown.
ec	Incubation Period	17	1		uint							
fs	Friendship	18	1		uint							
gt	Growth Type	19	1		uint							Pretty sure this is an enum
group1	Egg Group 1	20	1		uint							
group2	Egg Group 2	21	1		uint							
ability1	Ability 1	22	1		uint							
ability2	Ability 2	23	1		uint							
szf	Safari Zone Flee Rate	24	1		uint							
cf	Color	200	7	bits	uint							Break this down
flip	Flip	207	1	bits	uint							
pad	Padding	26	2		uintbe		hex					
