id	name	unit	offset	size	type	display	order	info	comment
type	Item Type	bits	0	2	uint				weapon/armor/accessory/item
usage	Usage Flags	bits	2	4	usage				
unk1	Unknown 1	bits	6	1	uint				
idth	Death Immunity	bits	7	1	uint				
sflags	Status Flags	bits	8	4	sflags				
menu	Menu Flags	bits	12	4	menu				
users	Users	bits	16	8	users				
tgt	Targeting Flags	bits	24	8	targeting				
elem	Element	bits	32	8	elements				
imm	Immunities	bits	40	8	elements				
res	Resistances	bits	48	8	elements				
status	Status	bits	56	8	statuses				
buffs	Buffs	bits	64	8	buffs				
spd	Speed	bits	72	8	int				
atk	Attack	bits	80	8	int				
def	Defense	bits	88	8	int				
matt	Magic	bits	96	8	int				
mdef	MDef	bits	104	8	int				
avar	Variance	bits	112	8	uint				
pow	Power	bits	120	8	uint				
eff	Effect	bits	128	8	uint				Possibly index into function array?
dmg	Damage Flags	bits	136	5	dmgflags				
unk2	Unknown 2	bits	141	3	bin				
