id	name	unit	offset	size	type	display	order	info	comment
hp	HP	bits	0	16	uintle				
spd	Speed	bits	16	8	uint				
atk	Attack	bits	24	8	uint				
def	Defense	bits	32	8	uint				
matt	Magic Atk	bits	40	8	uint				
mdef	Magic Def	bits	48	8	uint				
fp	FP	bits	56	8	uint				
evd	Evade	bits	64	8	uint				
mevd	Magic Evd	bits	72	8	uint				
sdth	Special Death	bits	80	1	uint				Wait for the battle script to remove the monster instead of dying normally. (used by bosses?)
spal	Special Palette?	bits	81	1	uint				
pad1	Unused 1	bits	82	6	uint				
inv	Invincible	bits	88	1	uint				
idth	Death Immune	bits	89	1	uint				
mph	Morph Rate	bits	90	2	uint				Check 2/3 values, this may be bitwise little-endian.
hsnd	Hit Sound	bits	92	4	uint	hex			
res	Resistances	bits	96	8	elements	jftifpsm			Jump Fire Thunder Ice Fear Poison Sleep Mute
asnd	Approach Sound	bits	104	4	uint	hex			
weak	Weaknesses	bits	108	4	weak	jfti			Jump Fire Thunder Ice (can't be weak to 'status elements'?)
imm	Immunities	bits	112	8	statuses				
ent	Entrance Style	bits	120	4	uint	hex			
hov	Hover Height	bits	124	2	uint				
coin	Coin Size	bits	126	2	uint				Not sure whether this should be treated as a bitfield or int or what.
